size,trial,maxSum,start,end,ns,comparisons,assignments,arrayAccesses,allocations
100,1,3022,77,84,498900,198,253,100,1
100,2,5857,7,46,33600,198,247,100,1
100,3,6842,38,94,31400,198,269,100,1
100,4,4258,45,80,18100,198,242,100,1
100,5,5634,66,89,18200,198,259,100,1
1000,1,12074,826,985,250000,1998,2131,1000,1
1000,2,27370,17,470,155400,1998,2258,1000,1
1000,3,11497,346,438,155100,1998,2150,1000,1
1000,4,17055,272,448,154300,1998,2149,1000,1
1000,5,23306,0,272,154600,1998,2180,1000,1
10000,1,113481,478,8846,1456800,19998,20876,10000,1
10000,2,48428,6322,7859,1742200,19998,20461,10000,1
10000,3,40249,6676,7823,2004100,19998,20538,10000,1
10000,4,74236,6442,9832,1197900,19998,20630,10000,1
10000,5,61285,2131,4289,1156600,19998,20518,10000,1
100000,1,182635,18867,72072,2565300,199998,201750,100000,1
100000,2,168159,76688,99162,1267900,199998,201647,100000,1
100000,3,291460,678,96593,1632900,199998,202099,100000,1
100000,4,219465,27413,63888,1124000,199998,201869,100000,1
100000,5,373808,19447,96003,558300,199998,203043,100000,1
